Table of upregulated genes,,,,,,,Table of gene symbols and names for upregulated genes,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1.,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,
1.910919351,10.67884343,7.025642871,0.000002213438372,0.0008067982865,203510_at,,35,203510_at,MET,4233,"MET proto-oncogene, receptor tyrosine kinase",human
1.982023353,8.715940645,6.954013131,0.000002505225516,0.0008806613804,215380_s_at,,36,215380_s_at,GGCT,79017,gamma-glutamylcyclotransferase,human
2.836211561,5.333582718,6.985421994,0.000002533157359,0.0008806613804,211478_s_at,,37,211478_s_at,DPP4,1803,dipeptidyl peptidase 4,human
1.856451222,8.707292777,6.924134756,0.000002613233749,0.0008986072655,218313_s_at,,38,218313_s_at,GALNT7,51809,polypeptide N-acetylgalactosaminyltransferase 7,human
1.628041274,5.817455827,6.905233651,0.000002664530961,0.0009048647845,202733_at,,39,202733_at,P4HA2,8974,prolyl 4-hydroxylase subunit alpha 2,human
2.959172348,11.02568988,6.949359216,0.000002717245363,0.0009170703099,211719_x_at,,40,211719_x_at,FN1,2335,fibronectin 1,human
4.155012124,8.845692861,6.955681746,0.000002938345511,0.000961429545,37004_at,,41,37004_at,SFTPB,6439,surfactant protein B,human
2.336102527,8.475318316,6.699559063,0.00000395021085,0.001188134407,209360_s_at,,42,209360_s_at,RUNX1,861,RUNX family transcription factor 1,human
,,,,,,,,209360_s_at,LOC101928269,101928269,uncharacterized LOC101928269,human
,,,,,,,,209360_s_at,LOC100506403,100506403,uncharacterized LOC100506403,human
3.560520376,9.6290057,6.652986871,0.000004713422571,0.001369806121,209810_at,,43,209810_at,SFTPB,6439,surfactant protein B,human
2.893265626,7.818386339,6.619955481,0.000004734393851,0.001369806121,206765_at,,44,206765_at,KCNJ2,3759,potassium inwardly rectifying channel subfamily J member 2,human
1.97075323,5.821879844,6.544371398,0.000005023195979,0.001394128122,204401_at,,45,204401_at,KCNN4,3783,potassium calcium-activated channel subfamily N member 4,human
2.347381664,7.099546915,6.408465556,0.000006543137484,0.00171170355,201487_at,,46,201487_at,CTSC,1075,cathepsin C,human
2.074435874,7.279358977,6.221039608,0.00000891700845,0.002092435352,219743_at,,47,219743_at,HEY2,23493,hes related family bHLH transcription factor with YRPW motif 2,human
3.294505828,6.852885943,6.237220717,0.000009566955983,0.00218859129,205728_at,,48,205728_at,TENM1,10178,teneurin transmembrane protein 1,human
1.904533936,6.07620355,6.150883945,0.000009980701186,0.002264293931,218613_at,,49,218613_at,PSD3,23362,pleckstrin and Sec7 domain containing 3,human
3.320883611,8.552748497,6.18262335,0.000010569152,0.002358646471,212850_s_at,,50,212850_s_at,LRP4,4038,LDL receptor related protein 4,human
2.191967425,6.476271075,5.974741565,0.00001399799996,0.002954983197,201650_at,,51,201650_at,KRT19,3880,keratin 19,human
1.7583337,9.369849583,5.924562973,0.00001485189729,0.003052734904,213693_s_at,,52,213693_s_at,MUC1,4582,"mucin 1, cell surface associated",human
2.167502141,8.336860993,5.889881255,0.00001630154117,0.003206518241,209990_s_at,,53,209990_s_at,GABBR2,9568,gamma-aminobutyric acid type B receptor subunit 2,human
1.548038859,7.446442007,5.864510662,0.00001636247991,0.003206518241,202826_at,,54,202826_at,SPINT1,6692,"serine peptidase inhibitor, Kunitz type 1",human
2.673655162,5.614787946,5.832552767,0.0000188962734,0.003526122008,206884_s_at,,55,206884_s_at,SCEL,8796,sciellin,human
1.645373874,6.147035464,5.766371923,0.00001968409759,0.003635905525,211343_s_at,,56,211343_s_at,COL13A1,1305,collagen type XIII alpha 1 chain,human
1.417587474,4.529662217,5.447219105,0.00003515920351,0.005476722086,214701_s_at,,57,214701_s_at,FN1,2335,fibronectin 1,human
2.195041791,7.458027976,5.436407987,0.0000379286011,0.005808813067,213241_at,,58,213241_at,PLXNC1,10154,plexin C1,human
1.388659003,9.433194185,5.375547592,0.00004017923339,0.006068507143,202609_at,,59,202609_at,EPS8,2059,epidermal growth factor receptor pathway substrate 8,human
2.438073892,8.279665901,5.401331282,0.0000414155505,0.006153247891,213135_at,,60,213135_at,TIAM1,7074,TIAM Rac1 associated GEF 1,human
1.252030527,8.885718853,5.343509708,0.00004244673158,0.006241245877,208712_at,,61,208712_at,CCND1,595,cyclin D1,human
2.329082833,5.858819039,5.336149095,0.00004642366195,0.006644538527,213423_x_at,,62,213423_x_at,TUSC3,7991,tumor suppressor candidate 3,human
3.441132549,6.533992439,5.385844876,0.00004656032365,0.006646698943,203180_at,,63,203180_at,ALDH1A3,220,aldehyde dehydrogenase 1 family member A3,human
2.082627259,6.44302301,5.288342194,0.00004976009951,0.0069939163,218960_at,,64,218960_at,TMPRSS4,56649,transmembrane serine protease 4,human
1.857505472,6.599220888,5.247023892,0.00005284904932,0.007286122523,221073_s_at,,65,221073_s_at,NOD1,10392,nucleotide binding oligomerization domain containing 1,human
1.440229474,6.403427926,5.221528428,0.00005394676489,0.007337162612,204014_at,,66,204014_at,DUSP4,1846,dual specificity phosphatase 4,human
2.666561946,6.943581721,5.157210034,0.0000675154378,0.008613061128,204105_s_at,,67,204105_s_at,NRCAM,4897,neuronal cell adhesion molecule,human
2.877444065,6.292020419,5.122313641,0.00007365169244,0.009202418965,212531_at,,68,212531_at,LCN2,3934,lipocalin 2,human
3.332712349,8.639350114,5.067203877,0.00008534283423,0.01027779617,209396_s_at,,69,209396_s_at,CHI3L1,1116,chitinase 3 like 1,human
2.482324478,9.400745025,5.015756014,0.00008736024159,0.01047460791,214175_x_at,,70,214175_x_at,PDLIM4,8572,PDZ and LIM domain 4,human
1.5167069,8.412561571,4.963838467,0.00008898245903,0.010530554,209515_s_at,,71,209515_s_at,RAB27A,5873,"RAB27A, member RAS oncogene family",human
1.736057802,7.136496987,4.908520092,0.0001006873683,0.01149286401,221840_at,,72,221840_at,PTPRE,5791,protein tyrosine phosphatase receptor type E,human
1.184853133,9.440902665,4.880557419,0.0001028956815,0.01157135379,203349_s_at,,73,203349_s_at,ETV5,2119,ETS variant transcription factor 5,human
1.062560651,6.325012702,4.81030279,0.0001175717377,0.0128308079,209228_x_at,,74,209228_x_at,TUSC3,7991,tumor suppressor candidate 3,human
1.611305269,6.80776307,4.744729948,0.0001375273834,0.0145723056,214803_at,,75,214803_at,CDH6,1004,cadherin 6,human
2.003405637,5.468583069,4.754796804,0.0001394409839,0.01473102427,205954_at,,76,205954_at,RXRG,6258,retinoid X receptor gamma,human
3.969652556,9.20082858,4.778147119,0.0001587572976,0.01637551494,209395_at,,77,209395_at,CHI3L1,1116,chitinase 3 like 1,human
1.661415775,4.000820122,4.638419527,0.0001703946001,0.01725245326,209227_at,,78,209227_at,TUSC3,7991,tumor suppressor candidate 3,human
2.587176349,7.376139149,4.624527725,0.0001914284923,0.01845917604,202436_s_at,,79,202436_s_at,CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1,human
2.286432641,7.674267922,4.585497816,0.000200870455,0.01900102444,209457_at,,80,209457_at,DUSP5,1847,dual specificity phosphatase 5,human
2.186094606,5.905713753,4.53552517,0.0002198339117,0.02026883494,221577_x_at,,81,221577_x_at,GDF15,9518,growth differentiation factor 15,human
3.523935771,9.404130657,4.567108098,0.0002341722309,0.02133894454,202286_s_at,,82,202286_s_at,TACSTD2,4070,tumor associated calcium signal transducer 2,human
1.198149015,5.215233288,4.382377719,0.0002753815101,0.0240135312,205490_x_at,,83,205490_x_at,GJB3,2707,gap junction protein beta 3,human
1.684577205,9.631071126,4.364065053,0.0002957017377,0.02534089735,203780_at,,84,203780_at,MPZL2,10205,myelin protein zero like 2,human
1.604296766,5.725265592,4.320717394,0.0003204613256,0.02683605656,219630_at,,85,219630_at,PDZK1IP1,10158,PDZK1 interacting protein 1,human
2.151944897,7.445397368,4.342415597,0.0003236554572,0.02701658339,211564_s_at,,86,211564_s_at,PDLIM4,8572,PDZ and LIM domain 4,human
1.357466743,4.737056811,4.245239795,0.000366136192,0.02968767949,205713_s_at,,87,205713_s_at,COMP,1311,cartilage oligomeric matrix protein,human
1.418721003,7.080130343,4.233321233,0.0003766978849,0.02994028175,202458_at,,88,202458_at,PRSS23,11098,serine protease 23,human
1.730962546,7.83733628,4.161216682,0.0004482395356,0.03427621903,218856_at,,89,218856_at,TNFRSF21,27242,TNF receptor superfamily member 21,human
2.241071928,9.738845838,4.180267957,0.0004549965501,0.03452729406,201666_at,,90,201666_at,TIMP1,7076,TIMP metallopeptidase inhibitor 1,human
1.353488747,5.156564754,4.137180645,0.0004555552532,0.03452729406,203716_s_at,,91,203716_s_at,DPP4,1803,dipeptidyl peptidase 4,human
2.162600361,6.084378848,4.038650741,0.0006037236986,0.04226452397,202435_s_at,,92,202435_s_at,CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1,human
1.694066821,10.31632722,4.007519899,0.0006116781357,0.04254898482,202071_at,,93,202071_at,SDC4,6385,syndecan 4,human
2.129468302,9.118097409,3.9676451,0.0006965734256,0.04701870623,202295_s_at,,94,202295_s_at,CTSH,1512,cathepsin H,human
1.059198168,7.548103813,3.896832993,0.0007303899737,0.04864076956,210605_s_at,,95,210605_s_at,MFGE8,4240,milk fat globule EGF and factor V/VIII domain containing,human
Table of downregulated genes,,,,,,,Table of gene symbols and names for downregulated genes,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1.,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,,
logFC,AveExpr,t,P.Value,adj.P.Val,geneID,,NO.,QUERY,SYMBOL,ID,NAME,SPECIES,
-3.896396003,8.446024186,-20.25405254,0,0.00000006122677296,214735_at,,1,214735_at,IPCEF1,26034,interaction protein for cytohesin exchange factors 1,human,
-2.536899186,7.676915047,-13.72262956,0.0000000003953736373,0.000006132180642,203710_at,,2,203710_at,ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",human,
-3.730661562,5.991407617,-12.90529703,0.00000000099863529,0.000007091565939,220723_s_at,,3,220723_s_at,CWH43,80157,cell wall biogenesis 43 C-terminal homolog,human,
-3.747716684,6.007116339,-12.81192842,0.000000001104795208,0.000007091565939,203908_at,,4,203908_at,SLC4A4,8671,solute carrier family 4 member 4,human,
-2.87175477,9.086249708,-12.22361838,0.000000001983850003,0.000008807784492,202350_s_at,,5,202350_s_at,MATN2,4147,matrilin 2,human,
-2.776744043,5.265888825,-11.88134139,0.000000002901547266,0.000009986496227,207789_s_at,,6,207789_s_at,DPP6,1804,dipeptidyl peptidase like 6,human,
-2.057848322,5.071623122,-11.1986243,0.000000006177885181,0.00001583985994,214307_at,,7,214307_at,HGD,3081,"homogentisate 1,2-dioxygenase",human,
-2.98539995,4.966305772,-11.2242472,0.000000006344386696,0.00001583985994,209470_s_at,,8,209470_s_at,GPM6A,2823,glycoprotein M6A,human,
-4.523502084,7.942049648,-11.25420425,0.000000006773929944,0.00001610280955,205413_at,,9,205413_at,MPPED2,744,metallophosphoesterase domain containing 2,human,
-2.254120597,6.187726116,-10.60377708,0.00000001293354695,0.00002438419585,205498_at,,10,205498_at,GHR,2690,growth hormone receptor,human,
-2.358823054,6.795760396,-10.15715877,0.00000002297448456,0.00003925406073,216944_s_at,,11,216944_s_at,ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",human,
-2.41732089,5.131207749,-10.0747429,0.00000002566251318,0.00004251811843,214745_at,,12,214745_at,PLCH1,23007,phospholipase C eta 1,human,
-2.5710816,6.603823377,-9.88390697,0.00000003329473394,0.00005201113081,209469_at,,13,209469_at,GPM6A,2823,glycoprotein M6A,human,
-2.276556964,6.976489269,-9.577852001,0.00000004919183235,0.00006241097709,205876_at,,14,205876_at,LIFR,3977,LIF receptor subunit alpha,human,
-2.294343986,7.174732287,-9.555636687,0.00000005074933808,0.00006241097709,205221_at,,15,205221_at,HGD,3081,"homogentisate 1,2-dioxygenase",human,
-1.624119236,7.793146673,-9.427757742,0.00000005839656985,0.0000653523936,213103_at,,16,213103_at,STARD13,90627,StAR related lipid transfer domain containing 13,human,
-3.718365669,7.92184471,-9.392816738,0.00000006994779939,0.0000721584138,204623_at,,17,204623_at,TFF3,7033,trefoil factor 3,human,
-4.469427006,8.375240009,-8.938408908,0.0000001388925987,0.00012449103,210342_s_at,,18,210342_s_at,TPO,7173,thyroid peroxidase,human,
-2.610367637,6.798862915,-8.786748522,0.0000001517576342,0.0001299869343,207981_s_at,,19,207981_s_at,ESRRG,2104,estrogen related receptor gamma,human,
-3.769182491,6.03682654,-8.517801978,0.0000002441730593,0.0001804075949,209613_s_at,,20,209613_s_at,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",human,
-4.259778898,6.063649356,-8.415818058,0.0000002935452915,0.0002036372479,206457_s_at,,21,206457_s_at,DIO1,1733,iodothyronine deiodinase 1,human,
-3.077222512,4.607851474,-8.320735184,0.0000003113531447,0.0002101633727,219643_at,,22,219643_at,LRP1B,53353,LDL receptor related protein 1B,human,
-2.858965948,6.054386997,-7.909467236,0.0000005731737148,0.0003165482107,206806_at,,23,206806_at,DGKI,9162,diacylglycerol kinase iota,human,
-2.366805284,4.546929369,-7.820804578,0.0000006345102744,0.000335425753,220724_at,,24,220724_at,CWH43,80157,cell wall biogenesis 43 C-terminal homolog,human,
-2.836632244,6.625946505,-7.532518977,0.000001035477991,0.0004602825949,219877_at,,25,219877_at,ZMAT4,79698,zinc finger matrin-type 4,human,
-1.799777611,6.439440031,-7.438448415,0.000001120894192,0.0004902791196,219077_s_at,,26,219077_s_at,WWOX,51741,WW domain containing oxidoreductase,human,
-2.055713067,4.654719136,-7.414632046,0.000001182292284,0.0005010994622,205083_at,,27,205083_at,AOX1,316,aldehyde oxidase 1,human,
-4.214785391,7.399121676,-7.34251735,0.000001555904534,0.0006301413362,205350_at,,28,205350_at,CRABP1,1381,cellular retinoic acid binding protein 1,human,
-2.553783805,7.125185354,-6.783714118,0.000003480755475,0.001093737388,203060_s_at,,29,203060_s_at,PAPSS2,9060,3'-phosphoadenosine 5'-phosphosulfate synthase 2,human,
-1.675949349,8.430948387,-6.70090277,0.000003772330905,0.001158720181,209242_at,,30,209242_at,PEG3,5178,paternally expressed 3,human,
-1.807109339,5.804180801,-6.698760043,0.000003813702367,0.00116488367,213679_at,,31,213679_at,TTC30A,92104,tetratricopeptide repeat domain 30A,human,
-2.722361631,6.426498013,-6.605122023,0.000004790399488,0.001371283204,204755_x_at,,32,204755_x_at,HLF,3131,"HLF transcription factor, PAR bZIP family member",human,
-1.548428916,6.702833874,-6.535830896,0.000004976047707,0.001388088818,213839_at,,33,213839_at,CLMN,79789,calmin,human,
-3.086979231,9.17658352,-6.467448705,0.000006267067363,0.001663358777,206529_x_at,,34,206529_x_at,SLC26A4,5172,solute carrier family 26 member 4,human,
-2.498558292,6.747785856,-6.427157401,0.000006409540138,0.001684815418,205051_s_at,,35,205051_s_at,KIT,3815,"KIT proto-oncogene, receptor tyrosine kinase",human,
-1.891161328,4.377183646,-6.326188576,0.000007309773488,0.00181123064,209612_s_at,,36,209612_s_at,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",human,
-2.081368782,4.296645962,-6.259299984,0.000008336447969,0.001981718664,214930_at,,37,214930_at,SLITRK5,26050,SLIT and NTRK like family member 5,human,
-2.281264418,7.164235112,-6.212897117,0.000009192514932,0.002132966915,203911_at,,38,203911_at,RAP1GAP,5909,RAP1 GTPase activating protein,human,
-2.352498843,5.698959261,-6.213940818,0.000009228026351,0.002132966915,206517_at,,39,206517_at,CDH16,1014,cadherin 16,human,
-1.934715129,9.499624798,-6.059109326,0.0000117882402,0.002588441899,210524_x_at,,40,210524_x_at,MT1F,4494,metallothionein 1F,human,This gene was not found by BIOGPS so I looked it up on Gene Enrichment Profiler
-1.848873813,4.927120098,-5.952054941,0.00001421499497,0.002976247677,217127_at,,41,217127_at,CTH,1491,cystathionine gamma-lyase,human,
-1.972266981,4.933604265,-5.906727972,0.00001557110888,0.003118499554,204513_s_at,,42,204513_s_at,ELMO1,9844,engulfment and cell motility 1,human,
-1.732389659,4.582774303,-5.886564139,0.00001588725197,0.003158674551,214308_s_at,,43,214308_s_at,HGD,3081,"homogentisate 1,2-dioxygenase",human,
-2.144768141,9.905819013,-5.883628249,0.00001645856521,0.00321382876,213629_x_at,,44,213629_x_at,MT1F,4494,metallothionein 1F,human,"Turns out it was the same gene as this one, it has alternative probes."
-1.13396897,6.908092774,-5.772513871,0.00001906027631,0.003544627915,203221_at,,45,203221_at,TLE1,7088,"TLE family member 1, transcriptional corepressor",human,
-1.736304289,4.705113608,-5.763947485,0.00001988451428,0.003657102889,205501_at,,46,205501_at,PDE10A,10846,phosphodiesterase 10A,human,
-1.468800004,5.42557527,-5.671113669,0.00002323309337,0.004097643161,213308_at,,47,213308_at,SHANK2,22941,SH3 and multiple ankyrin repeat domains 2,human,
-1.30798197,9.47147678,-5.623591197,0.00002519341214,0.004372856536,217853_at,,48,217853_at,TNS3,64759,tensin 3,human,
-1.817622048,5.41561336,-5.626532986,0.0000257728618,0.004445208893,210473_s_at,,49,210473_s_at,ADGRA3,166647,adhesion G protein-coupled receptor A3,human,
-1.868225728,6.525247419,-5.488321754,0.00003348708365,0.005322402031,204042_at,,50,204042_at,WASF3,10810,WASP family member 3,human,
-1.739435429,5.970834886,-5.458850273,0.00003506305247,0.005476722086,204288_s_at,,51,204288_s_at,SORBS2,8470,sorbin and SH3 domain containing 2,human,
-3.015731905,7.778860207,-5.516413488,0.00003506788552,0.005476722086,203980_at,,52,203980_at,FABP4,2167,fatty acid binding protein 4,human,
-2.816580362,7.343143475,-5.497319014,0.00003572587411,0.005528747845,210299_s_at,,53,210299_s_at,FHL1,2273,four and a half LIM domains 1,human,
-1.852592185,9.169849819,-5.403839273,0.00003921617388,0.005955956408,219049_at,,54,219049_at,CSGALNACT1,55790,chondroitin sulfate N-acetylgalactosaminyltransferase 1,human,
-1.808624527,7.787246778,-5.360019133,0.00004246444383,0.006241245877,212224_at,,55,212224_at,ALDH1A1,216,aldehyde dehydrogenase 1 family member A1,human,
-2.331081886,7.001376556,-5.315725377,0.00004827623998,0.006838091764,207980_s_at,,56,207980_s_at,CITED2,10370,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,human,
-1.002974345,4.469559868,-5.254698846,0.00004990750204,0.006996647883,206043_s_at,,57,206043_s_at,ATP2C2,9914,ATPase secretory pathway Ca2+ transporting 2,human,
-2.521785038,6.424537604,-5.295539685,0.00005105259238,0.007102545772,205357_s_at,,58,205357_s_at,AGTR1,185,angiotensin II receptor type 1,human,
-1.772334468,10.04379707,-5.246905584,0.00005251487846,0.007286122523,203240_at,,59,203240_at,FCGBP,8857,Fc fragment of IgG binding protein,human,
-1.806834352,7.200698289,-5.244586997,0.00005288629878,0.007286122523,203387_s_at,,60,203387_s_at,TBC1D4,9882,TBC1 domain family member 4,human,
-2.127475957,7.246965049,-5.180193448,0.00006146336575,0.008058775833,218332_at,,61,218332_at,BEX1,55859,brain expressed X-linked 1,human,
-2.025990081,5.493250344,-5.105685969,0.00007032968918,0.008880544471,204753_s_at,,62,204753_s_at,HLF,3131,"HLF transcription factor, PAR bZIP family member",human,
-2.972182915,8.427911224,-5.058116282,0.00008417372409,0.010249885,219195_at,,63,219195_at,PPARGC1A,10891,PPARG coactivator 1 alpha,human,
-1.586860387,7.675695608,-4.991239062,0.00008476618475,0.01027779617,211596_s_at,,64,211596_s_at,LRIG1,26018,leucine rich repeats and immunoglobulin like domains 1,human,
-1.76958078,6.127540746,-4.991462726,0.0000858886632,0.01032079706,212843_at,,65,212843_at,NCAM1,4684,neural cell adhesion molecule 1,human,
-2.14026465,8.569034636,-4.997121362,0.00008772990743,0.01049104122,218858_at,,66,218858_at,DEPTOR,64798,DEP domain containing MTOR interacting protein,human,
-1.959942303,8.475228481,-4.961081032,0.00009259752687,0.01088767695,214505_s_at,,67,214505_s_at,FHL1,2273,four and a half LIM domains 1,human,
-1.495482863,7.340231447,-4.929652101,0.00009496955819,0.0110477885,209325_s_at,,68,209325_s_at,RGS16,6004,regulator of G protein signaling 16,human,
-2.587169007,5.505158061,-4.940124453,0.0001023189014,0.01155844202,222171_s_at,,69,222171_s_at,PKNOX2,63876,PBX/knotted 1 homeobox 2,human,
-1.579162792,9.613744992,-4.892302567,0.0001027115981,0.01157135379,204686_at,,70,204686_at,IRS1,3667,insulin receptor substrate 1,human,
-2.801813928,5.950058624,-4.943212446,0.0001037813327,0.01160377171,204932_at,,71,204932_at,TNFRSF11B,4982,TNF receptor superfamily member 11b,human,
-1.52932211,9.526446861,-4.767831024,0.0001306335075,0.01400468044,214433_s_at,,72,214433_s_at,SELENBP1,8991,selenium binding protein 1,human,
-1.888991054,6.135052094,-4.76306456,0.0001357469106,0.0144275949,220751_s_at,,73,220751_s_at,FAXDC2,10826,fatty acid hydroxylase domain containing 2,human,
-2.146617968,6.714900281,-4.739257632,0.0001457781737,0.01532773394,209447_at,,74,209447_at,SYNE1,23345,spectrin repeat containing nuclear envelope protein 1,human,
-1.624394025,8.852098946,-4.686309713,0.0001545054132,0.01606004462,49452_at,,75,49452_at,ACACB,32,acetyl-CoA carboxylase beta,human,
